,Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status
63915,20080115X00051,Accident,2008,CO,United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Colorado Contrails,0.0,0.0,0.0,1.0,VMC,the student pilot's premature flare resulting in the loss of aircraft control.
63916,20080210X00166,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Beech,A36,1.0,BK Corporation,0.0,0.0,0.0,3.0,VMC,The pilot's inadequate compensation for wind conditions.  A factor in the accident was the wind gust.
63921,20080115X00047,Accident,2008,VA,United States,Non-Fatal,Substantial,Airplane,Cessna,R172K,1.0,Neil T. Wallace,0.0,1.0,0.0,0.0,VMC,"The pilot's failure to follow the checklist and failure to achieve the proper touchdown point during a forced landing. Contributing to the accident was a loss of engine power due to a cracked No. 4 top sparkplug insulator, resulting in pre-ignition/detonation and the failure of the No. 2 connecting rod cap due to evacuation of the oil supply."
63922,20080116X00063,Accident,2008,AK,United States,Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,"Servant Air, Inc.",6.0,1.0,3.0,0.0,VMC,"The failure of company maintenance personnel to ensure that the airplane's nose baggage door latching mechanism was properly configured and maintained, resulting in an inadvertent opening of the nose baggage door in flight. Contributing to the accident were the lack of information and guidance available to the operator and pilot regarding procedures to follow should a baggage door open in flight and an inadvertent aerodynamic stall."
63924,20080321X00354,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,1.0,Ronald Wilhite,0.0,0.0,0.0,2.0,VMC,A deer darting into the path of the airplane during the landing roll.
63925,20080114X00044,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,,0.0,0.0,0.0,2.0,VMC,A loss of engine power due to inadequate maintenance inspection resulting in a worn throttle housing going undetected and failing.
63927,20080312X00299,Accident,2008,ME,United States,Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control during landing.  Contributing to the accident was the pilot's selection of an unsuitable landing area.
63930,20080220X00212,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control.
63932,20080122X00088,Incident,2008,NE,United States,Non-Fatal,Unknown,Airplane,Boeing,737-2H4,2.0,"Ameristar Air Cargo, Inc.",0.0,0.0,0.0,38.0,VMC,The improper installation of the swivel valve fittings by the operator's mechanic leading to the total loss of both hydraulic systems.  Contributing to the incident were the swivel valves leaking and the total failure of the hydraulic system.
63938,20080219X00203,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Bill Burton,0.0,0.0,0.0,2.0,VMC,The pilot's improper preflight and in-flight planning which resulted in a loss of engine power due to fuel exhaustion.
